X	Y
0	159.6912
1	160.0294
2	160.3382
3	159.2206
4	159.2647
5	159.4559
6	159.1471
7	159.2941
8	159.6471
9	158.3382
10	159.4118
11	159.2794
12	159.1618
13	159.0735
14	159.7794
15	160.1912
16	160.5294
17	160.1471
18	160.3971
19	160.1471
20	160.8382
21	160.2794
22	160.6324
23	160.2941
24	160.6765
25	160.9853
26	160.2206
27	160.6471
28	160.7500
29	160.9412
30	160.0882
31	160.6912
32	160.5441
33	161.5294
34	161.4853
35	162.5882
36	161.8971
37	163.1324
38	163.9706
39	165.6618
40	166.9118
41	169.4265
42	172.1029
43	174.4118
44	176.6029
45	180.5882
46	185.7353
47	188.6765
48	193.9853
49	197.6912
50	200.7794
51	203.9853
52	206.1471
53	209.0441
54	208.9412
55	209.0588
56	206.9412
57	203.9706
58	198.0147
59	189.6912
60	181.2941
61	174.1471
62	167.4706
63	164.3971
64	163.0588
65	163.2353
66	162.7353
67	163.4265
68	164.2059
69	164.7941
70	166.1765
71	166.5294
72	169.2500
73	171.2794
74	173.6471
75	175.0441
76	177.7647
77	178.9412
78	181.6912
79	182.6324
80	183.0147
81	183.7206
82	181.3235
83	178.4118
84	174.3529
85	170.2941
86	166.0441
87	163.2353
88	161.5441
89	161.1912
90	159.6029
91	160.2059
92	159.3529
93	158.4706
94	158.7206
95	158.3088
96	159.4118
97	157.5882
98	159.2353
99	159.1618
100	158.6912
101	159.1618
102	158.9559
103	159.2647
104	160.0000
105	159.4412
106	160.3235
107	159.8235
108	160.6176
109	159.9118
110	159.4265
111	160.1029
112	159.6618
113	158.9559
114	159.1029
115	157.8235
116	158.1765
117	157.9118
118	157.4559
119	157.5147
120	156.3235
121	157.3235
122	157.9412
123	157.5000
124	157.3382
125	158.0588
126	158.1471
127	157.6618
128	157.6176
129	156.4559
130	157.4706
131	157.0441
132	156.5441
133	156.3235
134	155.8971
135	156.5000
136	154.8235
137	155.5882
138	154.7206
139	155.1618
140	155.7941
141	154.9265
142	154.3971
143	155.0147
144	155.8529
145	155.1029
146	155.2059
147	155.3088
148	155.3971
149	154.6765
150	155.3382
151	155.0294
152	155.0735
153	154.6176
154	154.9265
155	154.1176
156	153.9706
157	153.2059
158	153.4118
159	153.8088
160	153.7206
161	153.1176
162	152.6765
163	153.0294
164	153.0441
165	153.5294
166	154.3235
167	151.8382
168	152.3971
169	152.4118
170	152.4412
171	152.8676
172	153.2059
173	152.8235
174	152.6765
175	151.7794
176	151.5882
177	151.5735
178	150.7647
179	151.4118
180	150.4853
181	149.9412
182	150.6176
183	150.3235
184	149.8235
185	150.6324
186	151.0588
187	150.6912
188	150.2794
189	149.3676
190	150.9853
191	149.6765
192	150.1912
193	150.5441
194	150.5294
195	150.5147
196	149.8088
197	150.4853
198	149.9706
199	149.6029
200	148.9853
